x,u,Y_OH,Y_HO2,rho,Y_O2,p,Y_N2,Y_H2O,Y_H2,Y_H,Y_AR,Y_H2O2,T,Y_O
0.01915211970075,-10.16679253833939,0.01075621643871,2.45586557e-06,0.3244985781773,0.01456225597549,203460.72365609236,0.0,0.08138525356058,0.00227649735182,0.00075295165702,0.88586568789035,0.0,2519.510974770823,0.00439868126046
0.01945137157107,-10.59004229256298,0.01074456756018,2.4917962e-06,0.32469083566047,0.01458631702069,203366.73503449056,0.0,0.08135962424237,0.0022772804535,0.0007550710784,0.88586765634458,0.0,2516.712531816157,0.00440699150408
0.0197506234414,-10.87933929416706,0.01073978541703,2.51541381e-06,0.32509108663105,0.01460928926581,203466.64024896213,0.0,0.0813283654472,0.00227833300801,0.00075705481471,0.88586845698324,0.0,2514.6985839449103,0.00441619965019
0.02004987531172,-11.06071169429706,0.01073187184931,2.54307723e-06,0.32548311075376,0.01463158113403,203532.1688822565,0.0,0.08130511688014,0.00227889207072,0.00075885665604,0.88586693543782,0.0,2512.3554329398767,0.00442420289469
0.02034912718204,-10.0490094540868,0.01071353230786,2.59314005e-06,0.32545890371075,0.01465396203174,203202.87865453737,0.0,0.08129166100233,0.00227881204594,0.00076091191329,0.88586680399159,0.0,2508.36487612648,0.0044317235672
0.02064837905237,-8.46088551576436,0.01069203229988,2.6499636e-06,0.32524158700677,0.01467817752247,202725.3776848414,0.0,0.08127446732433,0.00227888300423,0.00076335825152,0.88587027348547,0.0,2504.007426354595,0.00444015814848
0.02094763092269,-7.59727727596958,0.01068082430909,2.68704626e-06,0.32530799641101,0.01470150779144,202551.21336076688,0.0,0.08124677863641,0.00228012878814,0.00076589826801,0.88587212379129,0.0,2501.1502379219223,0.00445005136936
0.02124688279302,-7.40928610795703,0.01068344822409,2.69977644e-06,0.32574563578554,0.01472198495704,202752.2122064809,0.0,0.08120813920322,0.00228265623912,0.0007683807414,0.88587107342873,0.0,2500.01285038631,0.00446161742995
0.02154613466334,-7.40818589763442,0.01069040730168,2.70662388e-06,0.32625529684173,0.01474168327955,203030.0481739112,0.0,0.08116554569016,0.00228539087162,0.00077085960744,0.88586914909949,0.0,2499.2593206606966,0.00447425752618
0.02184538653367,-6.69112342771383,0.01069129104346,2.72468353e-06,0.32662477004503,0.01476111578019,203139.70441386168,0.0,0.08112987420804,0.00228728089583,0.00077319646697,0.88586871493512,0.0,2497.559824135665,0.00448580198686
0.02214463840399,-4.91578765550881,0.01067929819757,2.76243999e-06,0.3267684996278,0.01478062116582,202988.89885023137,0.0,0.0811101208771,0.0022881244168,0.00077549102331,0.88586880613607,0.0,2494.435800300095,0.00449477574335
0.02244389027431,-3.05771840269367,0.01066284442315,2.8057536e-06,0.32686696632893,0.01480079148407,202779.89144379768,0.0,0.08109299465209,0.00228867913669,0.00077780484242,0.8858712580935,0.0,2490.963009360154,0.00450282161448
0.02274314214464,-1.93008779509654,0.01065702597724,2.82828257e-06,0.32737700217025,0.01482260996024,202959.05211695947,0.0,0.0810649994693,0.00228974629878,0.00077989933808,0.88587100949471,0.0,2489.1172685729243,0.00451188117909
0.02304239401496,-1.79098283147797,0.01066396598077,2.8328011e-06,0.32809526041948,0.01484470081165,203375.49004171308,0.0,0.08102257141085,0.00229161510658,0.00078199035082,0.88586856821699,0.0,2488.5627037024014,0.00452375532125
