x,u,Y_HO2,p,Y_OH,Y_H2O,Y_N2,Y_H,Y_H2O2,rho,Y_O,Y_AR,Y_O2,T,Y_H2
0.01496259351621,16.59927057496557,5.54116852e-06,187699.5023636073,0.01013267451397,0.0773171156754,0.0,0.00107887756427,0.0,0.327161321899,0.00579673640967,0.88588375672163,0.01734509213134,2281.258260617687,0.00244020581519
0.01526184538653,18.58477460831501,5.68875963e-06,187660.74917562795,0.01015032695069,0.07700647631298,0.0,0.00109372310878,0.0,0.32798209200405,0.00590581764917,0.88576332655605,0.01763876779146,2274.3758668174446,0.00243587287123
0.01556109725686,19.6853329963876,5.75135854e-06,187926.44864121155,0.01018917840654,0.07666699510062,0.0,0.00111163210124,0.0,0.32863076972393,0.00600425153787,0.88578995513212,0.01778641045394,2271.780458247588,0.00244582590914
0.01586034912718,20.10436039683072,5.78293261e-06,188513.6007701348,0.01020226377863,0.07657285185255,0.0,0.0011263791672,0.0,0.32974956340076,0.00605042851336,0.88580107062081,0.01777755338481,2269.503719817857,0.00246366975002
0.01615960099751,20.54110852832885,5.83153515e-06,189089.6753302817,0.0101817509582,0.07657682104552,0.0,0.00113530928367,0.0,0.33117056018196,0.00606351881356,0.88581669724561,0.017745147352,2265.650134578345,0.0024749237663
0.01645885286783,22.10321197162184,5.90827897e-06,189282.1162482112,0.01013607672861,0.07657605043246,0.0,0.00113991015746,0.0,0.33234112628147,0.00606507738549,0.88585610379456,0.01774447283679,2259.6968366078336,0.00247640038565
0.01675810473815,24.53497850631448,5.99476908e-06,189314.41444880376,0.0100935764966,0.07654635347851,0.0,0.00114348083941,1.92282e-08,0.33325718142014,0.00607370481704,0.88587346364309,0.01779002462537,2253.8476773905054,0.0024733821027
0.01705735660848,27.30446559660719,6.10814983e-06,189514.58048686892,0.01006453436194,0.07648083179309,0.0,0.00114757891294,2.2026017e-07,0.33431632514341,0.00609265036732,0.88587612450934,0.01786193235962,2249.041220700138,0.00247001928574
0.0173566084788,29.14054237553277,8.4975582e-06,190095.00397818527,0.01005170931585,0.07639184782745,0.0,0.00115270328274,0.0,0.33577430991266,0.00611897292333,0.88587383464684,0.01793334460935,2245.9270080341325,0.00246908983624
0.01765586034913,30.17890479189677,6.88608213e-06,190916.54075972855,0.01005445444878,0.07629726256495,0.0,0.0011589241559,0.0,0.3374353110328,0.0061492553572,0.88587248805782,0.01798895392145,2244.0869238241166,0.00247177541177
0.01795511221945,31.12776755697293,6.97911054e-06,191539.7154292997,0.01005313585457,0.07621547222356,0.0,0.00116639190226,0.0,0.33883003685766,0.00618019818636,0.88586886375444,0.01803260783323,2241.533012390258,0.00247635113503
0.01825436408978,33.15361546193279,7.60579923e-06,191700.05715999473,0.01003665737421,0.07615109735732,0.0,0.00117452009214,4.5528282e-07,0.33970426711988,0.00620933922814,0.88586462411379,0.01807536559467,2237.0030997474555,0.00248033515768
0.0185536159601,35.7801957856119,8.93832212e-06,191700.74875579335,0.01001052987207,0.07608904983205,0.0,0.00118265910075,0.0,0.34041394058028,0.00623673674655,0.88586409175139,0.01812489244736,2231.780266188541,0.00248310192771
0.01885286783042,38.44949685209987,9.32194261e-06,191926.136614555,0.00998654081485,0.07602097903388,0.0,0.00119023914142,0.0,0.34146301549827,0.00626339151536,0.88586477747186,0.01817968742301,2227.0476318587753,0.00248506265702
0.01915211970075,39.89817831401178,8.6223999e-06,192688.3969281033,0.00997897089854,0.07593336447033,0.0,0.00119729096492,0.0,0.34317209830271,0.00629269686955,0.88586704545122,0.01823428722346,2224.2733910772863,0.00248772172209
0.01945137157107,40.75521256841877,7.5456683e-06,193609.19527101924,0.00998108630871,0.07583464449663,0.0,0.00120420936919,3.72904e-09,0.34504047552038,0.00632485621809,0.88586906790892,0.01828761648867,2222.30104981688,0.00249096981245
0.0197506234414,42.44479927387547,8.55998116e-06,194235.4928964551,0.00997366312841,0.07574375366157,0.0,0.00121149193688,0.0,0.34659556714049,0.00635685441394,0.88586799165497,0.0183441821073,2218.9921434183643,0.00249350311578
0.02004987531172,44.99834341618232,9.52252722e-06,194333.28895646095,0.00994588535773,0.07567114490695,0.0,0.00121945185003,0.0,0.34756391420213,0.00638626865748,0.88586608879058,0.01840700244354,2213.4466403665283,0.00249463546646
0.02034912718204,48.47756852528023,7.18170075e-06,194362.72809297455,0.00991701977471,0.07559264310986,0.0,0.00122796435949,3.7244094e-07,0.3484239546099,0.00641644131124,0.88587021313095,0.01847216943719,2207.8043884685185,0.00249599473486
0.02064837905237,51.0141161364926,9.64727183e-06,194807.48047541035,0.00990186668671,0.07549698626368,0.0,0.00123657915243,0.0,0.34974379403544,0.00645055449414,0.88587239174449,0.01853320173975,2203.9360671952422,0.00249877264697
0.02094763092269,52.71652166498671,8.95365191e-06,195893.83942901035,0.00991018162087,0.07538438051224,0.0,0.0012448766623,0.0,0.35181931774124,0.00648879738815,0.88587134882814,0.01858792031426,2202.5065944152243,0.00250354102212
