x,gamma
5.4987531172069837E-002,1.5324267263815707
5.5236907730673322E-002,1.5324287167190045
5.5486284289276815E-002,1.5324313007497870
5.5735660847880307E-002,1.5324332267483352
5.5985037406483799E-002,1.5324355983391875
5.6234413965087292E-002,1.5324367632514784
5.6483790523690784E-002,1.5324277642423136
5.6733167082294270E-002,1.5324023607877881
5.6982543640897762E-002,1.5323492873404929
5.7231920199501254E-002,1.5322516170223808
5.7481296758104747E-002,1.5321105205085794
5.7730673316708239E-002,1.5319534322834636
5.7980049875311732E-002,1.5317883110073227
5.8229426433915224E-002,1.5316213477945673
5.8478802992518709E-002,1.5314544151605878
5.8728179551122202E-002,1.5312881403721024
5.8977556109725694E-002,1.5311231968057926
5.9226932668329187E-002,1.5309596538666965
5.9476309226932679E-002,1.5307977494828693
5.9725685785536164E-002,1.5306376200072691
5.9975062344139657E-002,1.5304794071326429
6.0224438902743149E-002,1.5303232528283326
6.0473815461346642E-002,1.5301692858398819
6.0723192019950134E-002,1.5300176380902228
6.0972568578553626E-002,1.5298684398412894
6.1221945137157119E-002,1.5297218231676837
6.1471321695760611E-002,1.5295779227000537
6.1720698254364097E-002,1.5294368760488688
6.1970074812967589E-002,1.5292988243915646
6.2219451371571081E-002,1.5291639124927450
6.2468827930174567E-002,1.5290322885946008
6.2718204488778059E-002,1.5289041042043388
6.2967581047381552E-002,1.5287795138686995
6.3216957605985044E-002,1.5286586750322471
6.3466334164588536E-002,1.5285417479503023
6.3715710723192029E-002,1.5284288956835468
6.3965087281795521E-002,1.5283202841939947
6.4214463840399014E-002,1.5282160824952549
6.4463840399002506E-002,1.5281164627999833
6.4713216957605998E-002,1.5280216004952132
6.4962593516209491E-002,1.5279316730655848
6.5211970074812983E-002,1.5278468569256378
6.5461346633416462E-002,1.5277673246126375
6.5710723192019954E-002,1.5276932500095484
6.5960099750623447E-002,1.5275483671699814
6.6209476309226939E-002,1.5273779466046113
6.6458852867830431E-002,1.5272073864608720
6.6708229426433924E-002,1.5270367174845461
6.6957605985037416E-002,1.5268659570573526
6.7206982543640909E-002,1.5266951132721138
6.7456359102244401E-002,1.5265241902119473
6.7705735660847893E-002,1.5263531908739176
6.7955112219451386E-002,1.5261821182528970
6.8204488778054878E-002,1.5260109756562437
6.8453865336658370E-002,1.5258397667714958
6.8703241895261863E-002,1.5256684956827438
6.8952618453865341E-002,1.5254971668946296
6.9201995012468834E-002,1.5253257853663720
6.9451371571072326E-002,1.5251543565482846
6.9700748129675819E-002,1.5249828864218486
6.9950124688279311E-002,1.5248113815480617
7.0199501246882803E-002,1.5246398491313282
7.0448877805486296E-002,1.5244682970984762
7.0698254364089788E-002,1.5242967341901241
7.0947630922693281E-002,1.5241251700777505
7.1197007481296773E-002,1.5239536155009430
7.1446384039900265E-002,1.5237820824308721
7.1695760598503758E-002,1.5236105842801784
7.1945137157107236E-002,1.5234391361654276
7.2194513715710729E-002,1.5232677552311391
7.2443890274314221E-002,1.5230964610344089
7.2693266832917713E-002,1.5229252760460459
7.2942643391521206E-002,1.5227542262735592
7.3192019950124698E-002,1.5225833420909389
7.3441396508728191E-002,1.5224126592689671
7.3690773067331683E-002,1.5222422203700330
7.3940149625935175E-002,1.5220720765504585
7.4189526184538668E-002,1.5219022899757968
7.4438902743142160E-002,1.5217329371807329
7.4688279301745653E-002,1.5215641137587685
7.4937655860349145E-002,1.5213959410694342
7.5187032418952623E-002,1.5212285761089348
7.5436408977556116E-002,1.5210622260606730
7.5685785536159608E-002,1.5208971710293002
7.5935162094763101E-002,1.5207338007495921
7.6184538653366593E-002,1.5205726783005877
7.6433915211970085E-002,1.5204146580061644
7.6683291770573578E-002,1.5202611011444342
7.6932668329177070E-002,1.5201142356701471
7.7182044887780563E-002,1.5199776270920291
7.7431421446384055E-002,1.5198565046841930
7.7680798004987547E-002,1.5197574049225424
7.7930174563591040E-002,1.5196865304167511
7.8179551122194518E-002,1.5196464426210554
7.8428927680798011E-002,1.5196307851995614
7.8678304239401503E-002,1.5196249842205523
7.8927680798004995E-002,1.5196227592783986
7.9177057356608488E-002,1.5196219047794057
7.9426433915211980E-002,1.5196215818232401
7.9675810473815473E-002,1.5196214629873035
7.9925187032418965E-002,1.5196214205163763
8.0174563591022457E-002,1.5196214057266086
8.0423940149625950E-002,1.5196214006871998
8.0673316708229442E-002,1.5196213990100420
8.0922693266832935E-002,1.5196213984330638
8.1172069825436427E-002,1.5196213982313287
8.1421446384039919E-002,1.5196213981750550
8.1670822942643398E-002,1.5196213981571827
8.1920199501246890E-002,1.5196213981515123
8.2169576059850383E-002,1.5196213981497544
8.2418952618453875E-002,1.5196213981492366
8.2668329177057367E-002,1.5196213981491162
8.2917705735660860E-002,1.5196213981490867
8.3167082294264352E-002,1.5196213981490698
8.3416458852867845E-002,1.5196213981490596
8.3665835411471337E-002,1.5196213981490498
8.3915211970074829E-002,1.5196213981490483
8.4164588528678322E-002,1.5196213981490478
8.4413965087281814E-002,1.5196213981490476
8.4663341645885293E-002,1.5196213981490481
8.4912718204488785E-002,1.5196213981490481
8.5162094763092278E-002,1.5196213981490476
8.5411471321695770E-002,1.5196213981490476
8.5660847880299262E-002,1.5196213981490476
8.5910224438902755E-002,1.5196213981490476
8.6159600997506247E-002,1.5196213981490476
8.6408977556109740E-002,1.5196213981490476
8.6658354114713232E-002,1.5196213981490476
8.6907730673316724E-002,1.5196213981490476
8.7157107231920217E-002,1.5196213981490476
8.7406483790523709E-002,1.5196213981490476
8.7655860349127201E-002,1.5196213981490476
8.7905236907730680E-002,1.5196213981490476
8.8154613466334172E-002,1.5196213981490476
8.8403990024937665E-002,1.5196213981490476
8.8653366583541157E-002,1.5196213981490476
8.8902743142144650E-002,1.5196213981490476
8.9152119700748142E-002,1.5196213981490476
8.9401496259351634E-002,1.5196213981490476
8.9650872817955127E-002,1.5196213981490476
8.9900249376558619E-002,1.5196213981490476
9.0149625935162112E-002,1.5196213981490476
9.0399002493765604E-002,1.5196213981490476
9.0648379052369096E-002,1.5196213981490476
9.0897755610972575E-002,1.5196213981490476
9.1147132169576067E-002,1.5196213981490476
9.1396508728179560E-002,1.5196213981490476
9.1645885286783052E-002,1.5196213981490476
9.1895261845386544E-002,1.5196213981490476
9.2144638403990037E-002,1.5196213981490476
9.2394014962593529E-002,1.5196213981490476
9.2643391521197022E-002,1.5196213981490476
9.2892768079800514E-002,1.5196213981490476
9.3142144638404006E-002,1.5196213981490476
9.3391521197007499E-002,1.5196213981490476
9.3640897755610991E-002,1.5196213981490476
9.3890274314214484E-002,1.5196213981490476
9.4139650872817976E-002,1.5196213981490476
9.4389027431421454E-002,1.5196213981490476
9.4638403990024947E-002,1.5196213981490476
9.4887780548628439E-002,1.5196213981490476
9.5137157107231932E-002,1.5196213981490476
9.5386533665835424E-002,1.5196213981490476
9.5635910224438916E-002,1.5196213981490476
9.5885286783042409E-002,1.5196213981490476
9.6134663341645901E-002,1.5196213981490476
9.6384039900249394E-002,1.5196213981490476
9.6633416458852886E-002,1.5196213981490476
9.6882793017456378E-002,1.5196213981490476
9.7132169576059871E-002,1.5196213981490476
9.7381546134663349E-002,1.5196213981490476
